รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ,รูปสินค้า
28376513544,การ์ดจอ RTX 3060Ti 3060Ti 4060 4070 4080 5070 5080 5090,9.0พัน,1,EZGGTECH,8.50%,฿764.92,https://shopee.co.th/product/22062191/28376513544,https://s.shopee.co.th/8pk0FdV2MF,https://down-tx-th.img.susercontent.com/th-11134207-7ras8-m6deloele5jx0d.webp
43022657488,"(15,990฿) GALAX RTX 5070 12G RGB🌈 ของใหม่ มือ1",9.6พัน,1,การ์ดจอมือสอง อุปกรณ์คอม,7.50%,฿719.25,https://shopee.co.th/product/1583850090/43022657488,https://s.shopee.co.th/8KnjeiWwNA,https://down-tx-th.img.susercontent.com/th-11134207-81ztp-mfcwvayul2x892.webp
29991112146,VGA ZOTAC GAMING GEFORCE RTX 5070 SOLID OC 12GB GDDR7 (ZT-B50700J-10P) (รับประกัน3ปี),26.2พัน,217,pansonics,7%,"฿1,830.50",https://shopee.co.th/product/111432267/29991112146,https://s.shopee.co.th/8V79r1WJ2D,https://down-tx-th.img.susercontent.com/th-11134207-81ztq-me8br9vvoe11c5.webp
49856093992,VGA GALAX GEFORCE RTX 5070 EX Gamer 1-Click OC 12GB GDDR7 192-bit (รับประกัน3ปี),28.9พัน,5,pansonics,7%,"฿2,023.00",https://shopee.co.th/product/111432267/49856093992,https://s.shopee.co.th/80AtG6YD38,https://down-tx-th.img.susercontent.com/th-11134207-81zte-mkknnqo1ueww40.webp
25347453412,VGA ASUS PRIME GEFORCE RTX 5070 WHITE OC  EDITION 12GB GDDR7 (รับประกัน3ปี),31.5พัน,17,pansonics,7%,"฿2,205.00",https://shopee.co.th/product/111432267/25347453412,https://s.shopee.co.th/8AUJSPXZiB,https://down-tx-th.img.susercontent.com/th-11134207-81zto-mfupu0o5b7kf65.webp
50357353032,VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5070 12G SHADOW 3X OC - 12GB GDDR7,23.9พัน,1,แอดบอล คอมพิวเตอร์,7%,"฿1,673.00",https://shopee.co.th/product/117467586/50357353032,https://s.shopee.co.th/AKYo2OPKJc,https://down-tx-th.img.susercontent.com/th-11134207-81ztg-mlygum4567er09.webp
45356930369,VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 5070 12GB GDDR7 OC EDITION,23.9พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿1,673.00",https://shopee.co.th/product/117467586/45356930369,https://s.shopee.co.th/AUsEEhOgyf,https://down-tx-th.img.susercontent.com/th-11134207-81ztq-mlj56pbe4c1t6c.webp
57702023493,VGA (การ์ดแสดงผล) ASUS PRIME GEFORCE RTX 5070 12GB GDDR7 (PRIME-RTX5070-12G),27.5พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿1,925.00",https://shopee.co.th/product/117467586/57702023493,https://s.shopee.co.th/9zvxdmQaza,https://down-tx-th.img.susercontent.com/th-11134207-81ztj-mhgdx8jz03cwa4.webp
55757610748,VGA (การ์ดแสดงผล) ASUS PRIME GEFORCE RTX 5070 12GB GDDR7 OC EDITION (PRIME-RTX5070-O12G),28.9พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿2,023.00",https://shopee.co.th/product/117467586/55757610748,https://s.shopee.co.th/AAFNq5Pxed,https://down-tx-th.img.susercontent.com/th-11134207-81ztq-mm74uk247pc1bd.webp
55455965500,VGA (การ์ดแสดงผล) PNY GEFORCE RTX 5070 ARGB EPIC-X RGB OVERCLOCKED TRIPLE FAN - 12GB GDDR7 VCG507012TFXXPB1-O,29.0พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿2,029.30",https://shopee.co.th/product/117467586/55455965500,https://s.shopee.co.th/9fJ7FARrfY,https://down-tx-th.img.susercontent.com/th-11134207-81ztj-mkgpazghoefa01.webp
54307448796,VGA (การ์ดแสดงผล) ASUS PRIME GEFORCE RTX 5070 TI 16GB GDDR7,39.0พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿2,729.30",https://shopee.co.th/product/117467586/54307448796,https://s.shopee.co.th/9pcXRTREKb,https://down-tx-th.img.susercontent.com/th-11134207-81ztc-mm1j7jihgoap88.webp
53457605740,VGA (การ์ดแสดงผล) PALIT GEFORCE RTX 5070 GAMINGPRO - 12GB GDDR7,25.9พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿1,813.00",https://shopee.co.th/product/117467586/53457605740,https://s.shopee.co.th/9KgGqYT8LW,https://down-tx-th.img.susercontent.com/th-11134207-81ztd-mm73lr6fcc8wde.webp
52655957313,VGA (การ์ดแสดงผล) VGA COLORFUL GEFORCE RTX 5070 TI BATTLE AX - 16GB GDDR7,40.0พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿2,799.30",https://shopee.co.th/product/117467586/52655957313,https://s.shopee.co.th/9Uzh2rSV0Z,https://down-tx-th.img.susercontent.com/th-11134207-81ztp-mkgrq7veafpg48.webp
52302033534,VGA (การ์ดแสดงผล) GIGABYTE GEFORCE RTX 5070 GAMING OC 12G - 12GB GDDR7,28.5พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿1,994.37",https://shopee.co.th/product/117467586/52302033534,https://s.shopee.co.th/6L2fH2eYQy,https://down-tx-th.img.susercontent.com/th-11134207-81ztc-mhgh1lfdj6de72.webp
51206899141,VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5070 12G GAMING TRIO OC - 12GB GDDR7,34.5พัน,1,แอดบอล คอมพิวเตอร์,7%,"฿2,415.00",https://shopee.co.th/product/117467586/51206899141,https://s.shopee.co.th/6VM5TLdv61,https://down-tx-th.img.susercontent.com/th-11134207-81ztd-mlj63he5z9j5eb.webp
50709226529,VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 5070 TI X3 - 16GB GDDR7,39.9พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿2,793.00",https://shopee.co.th/product/117467586/50709226529,https://s.shopee.co.th/60PosQfp6w,https://down-tx-th.img.susercontent.com/th-11134207-81ztm-mnb3ffe2756p85.webp
49807619801,VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 5070 TWIN X2 OC WHITE - 12GB GDDR7,27.9พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿1,953.00",https://shopee.co.th/product/117467586/49807619801,https://s.shopee.co.th/6AjF4jfBlz,https://down-tx-th.img.susercontent.com/th-11134207-81zto-mm74le80axhg26.webp
49657367896,VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5070 12G SHADOW 2X OC - 12GB GDDR7,25.5พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿1,785.00",https://shopee.co.th/product/117467586/49657367896,https://s.shopee.co.th/5fmyToh5mu,https://down-tx-th.img.susercontent.com/th-11134207-81ztq-mlyf8z1anrbc9a.webp
49359040306,VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5070 TI EX GAMER 1-CLICK OC - 16GB GDDR7,39.9พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿2,793.00",https://shopee.co.th/product/117467586/49359040306,https://s.shopee.co.th/5q6Og7gSRx,https://down-tx-th.img.susercontent.com/th-11134207-81ztp-mn5rk2rprw1u22.webp
