รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ,รูปสินค้า
58058548128,ASUS PROART GEFORCE RTX5070TI-O16G (90YV0NR0-M0NA00),52.0พัน,0,TECHNOCOM.OFFICIAL,1%,฿519.90,https://shopee.co.th/product/296265950/58058548128,https://s.shopee.co.th/903S2OzxYy,https://down-tx-th.img.susercontent.com/th-11134207-81ztm-mmvian60wnphfc.webp
46907623132,ASUS PRIME GEFORCE RTX5070TI O16G OC GDDR7 (90YV0MF0-M0NA00),46.0พัน,1,TECHNOCOM.OFFICIAL,1%,฿459.90,https://shopee.co.th/product/296265950/46907623132,https://s.shopee.co.th/9AMsEhzKE1,https://down-tx-th.img.susercontent.com/th-11134207-81ztj-mm793mv5xj4551.webp
26829904026,GIGABYTE RTX5070TI/16GB EAGLE (OC/D7) - A0166986,45.2พัน,0,Advice Official Shop,1%,฿451.90,https://shopee.co.th/product/62824618/26829904026,https://s.shopee.co.th/8fQbdn1EEw,https://down-tx-th.img.susercontent.com/th-11134207-7rash-m7gdublfs1m86e.webp
58054414710,ASUS PRIME RTX5070Ti 16GB GDDR7,52.9พัน,0,EXPERT MINES COMPANY LIMITED,2.5%,"฿1,322.50",https://shopee.co.th/product/22858428/58054414710,https://s.shopee.co.th/8pk1q60atz,https://down-tx-th.img.susercontent.com/th-11134207-81ztk-mjazn3fxov0h4d.webp
56506954114,ASUS PROART RTX5070Ti OC 16GB GDDR7,62.6พัน,0,EXPERT MINES COMPANY LIMITED,2.5%,"฿1,564.75",https://shopee.co.th/product/22858428/56506954114,https://s.shopee.co.th/1qaHVERF6e,https://down-tx-th.img.susercontent.com/th-11134207-81ztj-mlls2kcn9yx474.webp
43155288314,VGA (การ์ดแสดงผล) ASUS TUF GAMING GEFORCE RTX 5070 TI 16GB GDDR7 OC EDITION (TUF-RTX5070TI-O16G-GAMING),50.5พัน,4,JIB Official Store,1%,฿504.80,https://shopee.co.th/product/17333589/43155288314,https://s.shopee.co.th/1gGrIvRsRd,https://down-tx-th.img.susercontent.com/th-11134207-7ra0n-mb7u0de0il4xd1.webp
27387797493,VGA (การ์ดแสดงผล) ASUS PRIME GEFORCE RTX 5070 TI 16GB GDDR7 OC EDITION (PRIME-RTX5070TI-O16G),47.2พัน,1,JIB Official Store,1%,฿472.30,https://shopee.co.th/product/17333589/27387797493,https://s.shopee.co.th/1VxR6cSVmc,https://down-tx-th.img.susercontent.com/th-11134207-7ra0q-mb7v1jaip2lt84.webp
43632336160,คอมประกอบ Advice : Computer Set AMD #A282 RYZEN 7 9800X3D RTX5070TI 16GB ZOTAC GAMING SOLID SFF (OC/D7) - A0182231,99.1พัน,0,Advice Official Shop,1%,฿991.00,https://shopee.co.th/product/62824618/43632336160,https://s.shopee.co.th/1Le0uJT97b,https://down-tx-th.img.susercontent.com/th-11134207-81zth-mqbs5qi4s8w280.webp
41507460264,ROG Strix G18 G815LR-S9149W  Asus U9-275HX 32G1TB RTX5070Ti W11 3YOSS,101.4พัน,0,NOTEBOOK  CORP ,2%,"฿2,028.00",https://shopee.co.th/product/127868001/41507460264,https://s.shopee.co.th/2VpyISOhkq,https://down-tx-th.img.susercontent.com/th-11134207-7ra0i-mbth02iajrcw39.webp
44808564049,VGA (การ์ดจอ) ASUS TUF GAMING GEFORCE RTX5070TI O16G GDDR7 WHITE (90YV0MD3-M0NA00),51.0พัน,0,TECHNOCOM.OFFICIAL,1%,฿509.90,https://shopee.co.th/product/296265950/44808564049,https://s.shopee.co.th/2LWY69PL5p,https://down-tx-th.img.susercontent.com/th-11134207-81ztn-mmvihxk5qb5y12.webp
56013479527,ZOTAC GAMING GEFORCE RTX5070TI APOCALYPSE OC 16GB 256BIT GDDR7 (P288-2N774-100Z8),45.7พัน,0,TECHNOCOM.OFFICIAL,1%,฿456.60,https://shopee.co.th/product/296265950/56013479527,https://s.shopee.co.th/2BD7tqPyQo,https://down-tx-th.img.susercontent.com/th-11134207-81ztc-mqbs935dbhtsfc.webp
55963164579,ACER PREDATOR HELIOS NEO 18 AI Core Ultra 9 275HX/RTX5070Ti RAM32/1TB - ID26060542,85.4พัน,0,10X Store,5%,"฿4,268.00",https://shopee.co.th/product/71444990/55963164579,https://s.shopee.co.th/20thhXQbln,https://down-tx-th.img.susercontent.com/th-11134207-81zto-mq4naq4wmqks52.webp
56259414879,MSI RTX5070Ti 16GB FRIEREN EDITION OC GDDR7,55.8พัน,1,EXPERT MINES COMPANY LIMITED,2.5%,"฿1,395.00",https://shopee.co.th/product/22858428/56259414879,https://s.shopee.co.th/W4tumWJoW,https://down-tx-th.img.susercontent.com/th-11134207-81ztc-mo6nbxj8e0w228.webp
